TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Saint-Etienne","Value",OBS_VALUE,409836
1999_2002,"Total population in Urban Audit cities","Saint-Etienne","Value",OBS_VALUE,384042
1999_2002,"Proportion of journeys to work by bicycle","Saint-Etienne","Value",OBS_VALUE,1.1
1999_2002,"Proportion of journeys to work by foot","Saint-Etienne","Value",OBS_VALUE,13.6
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Saint-Etienne","Value",OBS_VALUE,8.6
1999_2002,"Proportion of journeys to work by car or motor cycle","Saint-Etienne","Value",OBS_VALUE,75.8
2003_2006,"Total population in Urban Audit cities","Saint-Etienne","Value",OBS_VALUE,378753

