TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Bilbao","Value",OBS_VALUE,349972
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Bilbao","Value",OBS_VALUE,35.2
1999_2002,"Proportion of journeys to work by car or motor cycle","Bilbao","Value",OBS_VALUE,36.9
2003_2006,"Total population in Urban Audit cities","Bilbao","Value",OBS_VALUE,352317
2003_2006,"Proportion of journeys to work by bicycle","Bilbao","Value",OBS_VALUE,0.1
2003_2006,"Proportion of journeys to work by foot","Bilbao","Value",OBS_VALUE,23.3
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Bilbao","Value",OBS_VALUE,34.0
2003_2006,"Proportion of journeys to work by car or motor cycle","Bilbao","Value",OBS_VALUE,42.6

