TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Cagliari","Value",OBS_VALUE,204237
1989_1993,"Proportion of journeys to work by bicycle","Cagliari","Value",OBS_VALUE,0.3
1989_1993,"Proportion of journeys to work by foot","Cagliari","Value",OBS_VALUE,10.4
1994_1998,"Total population in Urban Audit cities","Cagliari","Value",OBS_VALUE,177263
1999_2002,"Total population in Urban Audit cities","Cagliari","Value",OBS_VALUE,164249
1999_2002,"Proportion of journeys to work by bicycle","Cagliari","Value",OBS_VALUE,0.2
1999_2002,"Proportion of journeys to work by foot","Cagliari","Value",OBS_VALUE,8.6
1999_2002,"Proportion of journeys to work by car or motor cycle","Cagliari","Value",OBS_VALUE,81.5
2003_2006,"Total population in Urban Audit cities","Cagliari","Value",OBS_VALUE,161465

