TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Utrecht","Value",OBS_VALUE,231231
1994_1998,"Total population in Urban Audit cities","Utrecht","Value",OBS_VALUE,234254
1999_2002,"Total population in Urban Audit cities","Utrecht","Value",OBS_VALUE,256420
1999_2002,"Proportion of journeys to work by bicycle","Utrecht","Value",OBS_VALUE,21.0
1999_2002,"Proportion of journeys to work by foot","Utrecht","Value",OBS_VALUE,2.0
2003_2006,"Total population in Urban Audit cities","Utrecht","Value",OBS_VALUE,270244
2003_2006,"Proportion of journeys to work by bicycle","Utrecht","Value",OBS_VALUE,21.0
2003_2006,"Proportion of journeys to work by foot","Utrecht","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Utrecht","Value",OBS_VALUE,25.0

