TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Sassari","Value",OBS_VALUE,122339
1989_1993,"Proportion of journeys to work by bicycle","Sassari","Value",OBS_VALUE,0.1
1989_1993,"Proportion of journeys to work by foot","Sassari","Value",OBS_VALUE,17.5
1994_1998,"Total population in Urban Audit cities","Sassari","Value",OBS_VALUE,120923
1999_2002,"Total population in Urban Audit cities","Sassari","Value",OBS_VALUE,120729
1999_2002,"Proportion of journeys to work by bicycle","Sassari","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Sassari","Value",OBS_VALUE,13.4
1999_2002,"Proportion of journeys to work by car or motor cycle","Sassari","Value",OBS_VALUE,80.3
2003_2006,"Total population in Urban Audit cities","Sassari","Value",OBS_VALUE,124929

