TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Tallinn","Value",OBS_VALUE,476591
1994_1998,"Total population in Urban Audit cities","Tallinn","Value",OBS_VALUE,421249
1999_2002,"Total population in Urban Audit cities","Tallinn","Value",OBS_VALUE,399685
1999_2002,"Proportion of journeys to work by foot","Tallinn","Value",OBS_VALUE,14.4
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Tallinn","Value",OBS_VALUE,48.0
1999_2002,"Proportion of journeys to work by car or motor cycle","Tallinn","Value",OBS_VALUE,35.1
2003_2006,"Total population in Urban Audit cities","Tallinn","Value",OBS_VALUE,392306
2003_2006,"Proportion of journeys to work by foot","Tallinn","Value",OBS_VALUE,15.9
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Tallinn","Value",OBS_VALUE,49.8
2003_2006,"Proportion of journeys to work by car or motor cycle","Tallinn","Value",OBS_VALUE,33.6

