TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Banska Bystrica","Value",OBS_VALUE,83400
1994_1998,"Total population in Urban Audit cities","Banska Bystrica","Value",OBS_VALUE,85052
1999_2002,"Proportion of journeys to work by bicycle","Banska Bystrica","Value",OBS_VALUE,4.0
1999_2002,"Proportion of journeys to work by foot","Banska Bystrica","Value",OBS_VALUE,15.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Banska Bystrica","Value",OBS_VALUE,50.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Banska Bystrica","Value",OBS_VALUE,30.3
2003_2006,"Proportion of journeys to work by bicycle","Banska Bystrica","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by foot","Banska Bystrica","Value",OBS_VALUE,16.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Banska Bystrica","Value",OBS_VALUE,49.3
2003_2006,"Proportion of journeys to work by car or motor cycle","Banska Bystrica","Value",OBS_VALUE,31.7

