TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","K?benhavn","Value",OBS_VALUE,464773
1994_1998,"Total population in Urban Audit cities","K?benhavn","Value",OBS_VALUE,476751
1999_2002,"Total population in Urban Audit cities","K?benhavn","Value",OBS_VALUE,499148
1999_2002,"Proportion of journeys to work by bicycle","K?benhavn","Value",OBS_VALUE,29.0
1999_2002,"Proportion of journeys to work by foot","K?benhavn","Value",OBS_VALUE,2.0
2003_2006,"Total population in Urban Audit cities","K?benhavn","Value",OBS_VALUE,501664
2003_2006,"Proportion of journeys to work by bicycle","K?benhavn","Value",OBS_VALUE,36.1
2003_2006,"Proportion of journeys to work by foot","K?benhavn","Value",OBS_VALUE,5.8
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","K?benhavn","Value",OBS_VALUE,29.2
2003_2006,"Proportion of journeys to work by car or motor cycle","K?benhavn","Value",OBS_VALUE,26.1

