TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Cremona","Value",OBS_VALUE,74113
1989_1993,"Proportion of journeys to work by bicycle","Cremona","Value",OBS_VALUE,8.7
1989_1993,"Proportion of journeys to work by foot","Cremona","Value",OBS_VALUE,12.0
1994_1998,"Total population in Urban Audit cities","Cremona","Value",OBS_VALUE,71651
1999_2002,"Total population in Urban Audit cities","Cremona","Value",OBS_VALUE,70887
1999_2002,"Proportion of journeys to work by bicycle","Cremona","Value",OBS_VALUE,10.9
1999_2002,"Proportion of journeys to work by foot","Cremona","Value",OBS_VALUE,9.5
1999_2002,"Proportion of journeys to work by car or motor cycle","Cremona","Value",OBS_VALUE,75.6
2003_2006,"Total population in Urban Audit cities","Cremona","Value",OBS_VALUE,71533

