TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Oulu","Value",OBS_VALUE,102280
1989_1993,"Proportion of journeys to work by bicycle","Oulu","Value",OBS_VALUE,15.0
1989_1993,"Proportion of journeys to work by foot","Oulu","Value",OBS_VALUE,7.0
1994_1998,"Total population in Urban Audit cities","Oulu","Value",OBS_VALUE,111556
1994_1998,"Proportion of journeys to work by bicycle","Oulu","Value",OBS_VALUE,15.0
1994_1998,"Proportion of journeys to work by foot","Oulu","Value",OBS_VALUE,8.0
1999_2002,"Total population in Urban Audit cities","Oulu","Value",OBS_VALUE,123274
1999_2002,"Proportion of journeys to work by bicycle","Oulu","Value",OBS_VALUE,15.0
1999_2002,"Proportion of journeys to work by foot","Oulu","Value",OBS_VALUE,10.0
2003_2006,"Total population in Urban Audit cities","Oulu","Value",OBS_VALUE,124588

