TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Ostrava","Value",OBS_VALUE,327371
1994_1998,"Total population in Urban Audit cities","Ostrava","Value",OBS_VALUE,323870
1999_2002,"Total population in Urban Audit cities","Ostrava","Value",OBS_VALUE,316744
1999_2002,"Proportion of journeys to work by bicycle","Ostrava","Value",OBS_VALUE,1.0
1999_2002,"Proportion of journeys to work by foot","Ostrava","Value",OBS_VALUE,1.5
2003_2006,"Total population in Urban Audit cities","Ostrava","Value",OBS_VALUE,311402

