TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Napoli","Value",OBS_VALUE,1067365
1989_1993,"Proportion of journeys to work by bicycle","Napoli","Value",OBS_VALUE,0.2
1989_1993,"Proportion of journeys to work by foot","Napoli","Value",OBS_VALUE,14.5
1994_1998,"Total population in Urban Audit cities","Napoli","Value",OBS_VALUE,1026702
1999_2002,"Total population in Urban Audit cities","Napoli","Value",OBS_VALUE,1004500
1999_2002,"Proportion of journeys to work by bicycle","Napoli","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Napoli","Value",OBS_VALUE,13.0
1999_2002,"Proportion of journeys to work by car or motor cycle","Napoli","Value",OBS_VALUE,59.8
2003_2006,"Total population in Urban Audit cities","Napoli","Value",OBS_VALUE,995171

