TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","G?teborg","Value",OBS_VALUE,466990
1999_2002,"Proportion of journeys to work by bicycle","G?teborg","Value",OBS_VALUE,8.0
1999_2002,"Proportion of journeys to work by foot","G?teborg","Value",OBS_VALUE,7.0
2003_2006,"Proportion of journeys to work by bicycle","G?teborg","Value",OBS_VALUE,14.0
2003_2006,"Proportion of journeys to work by foot","G?teborg","Value",OBS_VALUE,12.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","G?teborg","Value",OBS_VALUE,21.0
2003_2006,"Proportion of journeys to work by car or motor cycle","G?teborg","Value",OBS_VALUE,52.0

