TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Enschede","Value",OBS_VALUE,146509
1994_1998,"Total population in Urban Audit cities","Enschede","Value",OBS_VALUE,147832
1999_2002,"Total population in Urban Audit cities","Enschede","Value",OBS_VALUE,150449
1999_2002,"Proportion of journeys to work by bicycle","Enschede","Value",OBS_VALUE,31.0
1999_2002,"Proportion of journeys to work by foot","Enschede","Value",OBS_VALUE,3.0
2003_2006,"Total population in Urban Audit cities","Enschede","Value",OBS_VALUE,152989
2003_2006,"Proportion of journeys to work by bicycle","Enschede","Value",OBS_VALUE,31.0
2003_2006,"Proportion of journeys to work by foot","Enschede","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Enschede","Value",OBS_VALUE,5.0

