TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Aberdeen","Value",OBS_VALUE,214120
1994_1998,"Total population in Urban Audit cities","Aberdeen","Value",OBS_VALUE,218350
1999_2002,"Total population in Urban Audit cities","Aberdeen","Value",OBS_VALUE,212125
1999_2002,"Proportion of journeys to work by bicycle","Aberdeen","Value",OBS_VALUE,1.3
1999_2002,"Proportion of journeys to work by foot","Aberdeen","Value",OBS_VALUE,10.6
2003_2006,"Total population in Urban Audit cities","Aberdeen","Value",OBS_VALUE,203500

