TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Linz","Value",OBS_VALUE,203044
1989_1993,"Proportion of journeys to work by bicycle","Linz","Value",OBS_VALUE,2.4
1989_1993,"Proportion of journeys to work by foot","Linz","Value",OBS_VALUE,13.3
1999_2002,"Total population in Urban Audit cities","Linz","Value",OBS_VALUE,183504
1999_2002,"Proportion of journeys to work by bicycle","Linz","Value",OBS_VALUE,2.3
1999_2002,"Proportion of journeys to work by foot","Linz","Value",OBS_VALUE,6.4
2003_2006,"Total population in Urban Audit cities","Linz","Value",OBS_VALUE,185530

