TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Czech Republic","Value",OBS_VALUE,10364124
1994_1998,"Total population in Urban Audit cities","Czech Republic","Value",OBS_VALUE,10321344
1999_2002,"Total population in Urban Audit cities","Czech Republic","Value",OBS_VALUE,10230060
1999_2002,"Proportion of journeys to work by bicycle","Czech Republic","Value",OBS_VALUE,3.1
1999_2002,"Proportion of journeys to work by foot","Czech Republic","Value",OBS_VALUE,6.4
2003_2006,"Total population in Urban Audit cities","Czech Republic","Value",OBS_VALUE,10220577

