TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Lefkosia","Value",OBS_VALUE,171600
1994_1998,"Total population in Urban Audit cities","Lefkosia","Value",OBS_VALUE,185514
1999_2002,"Total population in Urban Audit cities","Lefkosia","Value",OBS_VALUE,200686
1999_2002,"Proportion of journeys to work by bicycle","Lefkosia","Value",OBS_VALUE,1.0
1999_2002,"Proportion of journeys to work by foot","Lefkosia","Value",OBS_VALUE,12.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Lefkosia","Value",OBS_VALUE,2.0
2003_2006,"Total population in Urban Audit cities","Lefkosia","Value",OBS_VALUE,213500
2003_2006,"Proportion of journeys to work by bicycle","Lefkosia","Value",OBS_VALUE,13.0
2003_2006,"Proportion of journeys to work by foot","Lefkosia","Value",OBS_VALUE,13.0

