TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Coventry","Value",OBS_VALUE,304000
1999_2002,"Proportion of journeys to work by bicycle","Coventry","Value",OBS_VALUE,2.6
1999_2002,"Proportion of journeys to work by foot","Coventry","Value",OBS_VALUE,9.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Coventry","Value",OBS_VALUE,12.3
1999_2002,"Proportion of journeys to work by car or motor cycle","Coventry","Value",OBS_VALUE,75.0
2003_2006,"Total population in Urban Audit cities","Coventry","Value",OBS_VALUE,304200

