TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Marseille","Value",OBS_VALUE,969323
1994_1998,"Proportion of journeys to work by bicycle","Marseille","Value",OBS_VALUE,0.6
1994_1998,"Proportion of journeys to work by foot","Marseille","Value",OBS_VALUE,13.8
1994_1998,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Marseille","Value",OBS_VALUE,10.8
1994_1998,"Proportion of journeys to work by car or motor cycle","Marseille","Value",OBS_VALUE,74.4
1999_2002,"Total population in Urban Audit cities","Marseille","Value",OBS_VALUE,981769
2003_2006,"Total population in Urban Audit cities","Marseille","Value",OBS_VALUE,1023973

