TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Groningen","Value",OBS_VALUE,168702
1994_1998,"Total population in Urban Audit cities","Groningen","Value",OBS_VALUE,169627
1999_2002,"Total population in Urban Audit cities","Groningen","Value",OBS_VALUE,174250
1999_2002,"Proportion of journeys to work by bicycle","Groningen","Value",OBS_VALUE,34.0
1999_2002,"Proportion of journeys to work by foot","Groningen","Value",OBS_VALUE,4.0
2003_2006,"Total population in Urban Audit cities","Groningen","Value",OBS_VALUE,179185
2003_2006,"Proportion of journeys to work by bicycle","Groningen","Value",OBS_VALUE,37.0
2003_2006,"Proportion of journeys to work by foot","Groningen","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Groningen","Value",OBS_VALUE,8.0

