TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Catania","Value",OBS_VALUE,333075
1989_1993,"Proportion of journeys to work by bicycle","Catania","Value",OBS_VALUE,0.2
1989_1993,"Proportion of journeys to work by foot","Catania","Value",OBS_VALUE,11.1
1994_1998,"Total population in Urban Audit cities","Catania","Value",OBS_VALUE,322068
1999_2002,"Total population in Urban Audit cities","Catania","Value",OBS_VALUE,313110
1999_2002,"Proportion of journeys to work by bicycle","Catania","Value",OBS_VALUE,0.2
1999_2002,"Proportion of journeys to work by foot","Catania","Value",OBS_VALUE,8.9
1999_2002,"Proportion of journeys to work by car or motor cycle","Catania","Value",OBS_VALUE,83.0
2003_2006,"Total population in Urban Audit cities","Catania","Value",OBS_VALUE,305773

