TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Latvia","Value",OBS_VALUE,2667870
1994_1998,"Total population in Urban Audit cities","Latvia","Value",OBS_VALUE,2501660
1999_2002,"Total population in Urban Audit cities","Latvia","Value",OBS_VALUE,2364254
2003_2006,"Total population in Urban Audit cities","Latvia","Value",OBS_VALUE,2319203
2003_2006,"Proportion of journeys to work by bicycle","Latvia","Value",OBS_VALUE,5.1
2003_2006,"Proportion of journeys to work by foot","Latvia","Value",OBS_VALUE,23.6
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Latvia","Value",OBS_VALUE,29.8

