TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Italy","Value",OBS_VALUE,56744119
1989_1993,"Proportion of journeys to work by bicycle","Italy","Value",OBS_VALUE,3.8
1989_1993,"Proportion of journeys to work by foot","Italy","Value",OBS_VALUE,15.5
1994_1998,"Total population in Urban Audit cities","Italy","Value",OBS_VALUE,56844197
1999_2002,"Total population in Urban Audit cities","Italy","Value",OBS_VALUE,57844017
2003_2006,"Total population in Urban Audit cities","Italy","Value",OBS_VALUE,58462375

