TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Vigo","Value",OBS_VALUE,280186
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Vigo","Value",OBS_VALUE,14.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Vigo","Value",OBS_VALUE,64.6
2003_2006,"Total population in Urban Audit cities","Vigo","Value",OBS_VALUE,292059
2003_2006,"Proportion of journeys to work by bicycle","Vigo","Value",OBS_VALUE,0.1
2003_2006,"Proportion of journeys to work by foot","Vigo","Value",OBS_VALUE,18.7
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Vigo","Value",OBS_VALUE,12.7
2003_2006,"Proportion of journeys to work by car or motor cycle","Vigo","Value",OBS_VALUE,68.5

