TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Portugal","Value",OBS_VALUE,9867147
1994_1998,"Total population in Urban Audit cities","Portugal","Value",OBS_VALUE,10072542
1999_2002,"Total population in Urban Audit cities","Portugal","Value",OBS_VALUE,10356117
1999_2002,"Proportion of journeys to work by foot","Portugal","Value",OBS_VALUE,25.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Portugal","Value",OBS_VALUE,19.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Portugal","Value",OBS_VALUE,48.9
2003_2006,"Total population in Urban Audit cities","Portugal","Value",OBS_VALUE,10529255

