TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Aveiro","Value",OBS_VALUE,66444
1994_1998,"Total population in Urban Audit cities","Aveiro","Value",OBS_VALUE,69946
1999_2002,"Total population in Urban Audit cities","Aveiro","Value",OBS_VALUE,73335
1999_2002,"Proportion of journeys to work by foot","Aveiro","Value",OBS_VALUE,15.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Aveiro","Value",OBS_VALUE,14.0
1999_2002,"Proportion of journeys to work by car or motor cycle","Aveiro","Value",OBS_VALUE,66.2
2003_2006,"Total population in Urban Audit cities","Aveiro","Value",OBS_VALUE,73626

