TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Fort-de-France","Value",OBS_VALUE,163969
1999_2002,"Total population in Urban Audit cities","Fort-de-France","Value",OBS_VALUE,166139
1999_2002,"Proportion of journeys to work by bicycle","Fort-de-France","Value",OBS_VALUE,0.2
1999_2002,"Proportion of journeys to work by foot","Fort-de-France","Value",OBS_VALUE,7.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Fort-de-France","Value",OBS_VALUE,11.9
1999_2002,"Proportion of journeys to work by car or motor cycle","Fort-de-France","Value",OBS_VALUE,78.9
2003_2006,"Total population in Urban Audit cities","Fort-de-France","Value",OBS_VALUE,168720

