TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Praha","Value",OBS_VALUE,1214174
1994_1998,"Total population in Urban Audit cities","Praha","Value",OBS_VALUE,1204953
1999_2002,"Total population in Urban Audit cities","Praha","Value",OBS_VALUE,1169106
1999_2002,"Proportion of journeys to work by bicycle","Praha","Value",OBS_VALUE,0.3
1999_2002,"Proportion of journeys to work by foot","Praha","Value",OBS_VALUE,4.1
2003_2006,"Total population in Urban Audit cities","Praha","Value",OBS_VALUE,1170571

