TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Bologna","Value",OBS_VALUE,404378
1989_1993,"Proportion of journeys to work by bicycle","Bologna","Value",OBS_VALUE,4.0
1989_1993,"Proportion of journeys to work by foot","Bologna","Value",OBS_VALUE,10.8
1994_1998,"Total population in Urban Audit cities","Bologna","Value",OBS_VALUE,375878
1999_2002,"Total population in Urban Audit cities","Bologna","Value",OBS_VALUE,371217
1999_2002,"Proportion of journeys to work by bicycle","Bologna","Value",OBS_VALUE,4.0
1999_2002,"Proportion of journeys to work by foot","Bologna","Value",OBS_VALUE,7.9
1999_2002,"Proportion of journeys to work by car or motor cycle","Bologna","Value",OBS_VALUE,67.2
2003_2006,"Total population in Urban Audit cities","Bologna","Value",OBS_VALUE,374425

