TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Trieste","Value",OBS_VALUE,231100
1989_1993,"Proportion of journeys to work by bicycle","Trieste","Value",OBS_VALUE,0.3
1989_1993,"Proportion of journeys to work by foot","Trieste","Value",OBS_VALUE,14.2
1994_1998,"Total population in Urban Audit cities","Trieste","Value",OBS_VALUE,220983
1999_2002,"Total population in Urban Audit cities","Trieste","Value",OBS_VALUE,211184
1999_2002,"Proportion of journeys to work by bicycle","Trieste","Value",OBS_VALUE,0.3
1999_2002,"Proportion of journeys to work by foot","Trieste","Value",OBS_VALUE,12.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Trieste","Value",OBS_VALUE,65.4
2003_2006,"Total population in Urban Audit cities","Trieste","Value",OBS_VALUE,207069

