TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Odense","Value",OBS_VALUE,177639
1994_1998,"Total population in Urban Audit cities","Odense","Value",OBS_VALUE,183564
1999_2002,"Total population in Urban Audit cities","Odense","Value",OBS_VALUE,183691
1999_2002,"Proportion of journeys to work by bicycle","Odense","Value",OBS_VALUE,29.0
1999_2002,"Proportion of journeys to work by foot","Odense","Value",OBS_VALUE,1.0
2003_2006,"Total population in Urban Audit cities","Odense","Value",OBS_VALUE,185206
2003_2006,"Proportion of journeys to work by bicycle","Odense","Value",OBS_VALUE,33.7
2003_2006,"Proportion of journeys to work by foot","Odense","Value",OBS_VALUE,3.8
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Odense","Value",OBS_VALUE,14.3
2003_2006,"Proportion of journeys to work by car or motor cycle","Odense","Value",OBS_VALUE,46.0

