TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Ponta Delgada","Value",OBS_VALUE,61989
1994_1998,"Total population in Urban Audit cities","Ponta Delgada","Value",OBS_VALUE,64028
1999_2002,"Total population in Urban Audit cities","Ponta Delgada","Value",OBS_VALUE,65854
1999_2002,"Proportion of journeys to work by foot","Ponta Delgada","Value",OBS_VALUE,22.6
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Ponta Delgada","Value",OBS_VALUE,18.1
1999_2002,"Proportion of journeys to work by car or motor cycle","Ponta Delgada","Value",OBS_VALUE,49.5
2003_2006,"Total population in Urban Audit cities","Ponta Delgada","Value",OBS_VALUE,64516

