TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Bochum","Value",OBS_VALUE,400356
1994_1998,"Total population in Urban Audit cities","Bochum","Value",OBS_VALUE,398467
1999_2002,"Total population in Urban Audit cities","Bochum","Value",OBS_VALUE,390087
1999_2002,"Proportion of journeys to work by bicycle","Bochum","Value",OBS_VALUE,2.5
1999_2002,"Proportion of journeys to work by foot","Bochum","Value",OBS_VALUE,8.4
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Bochum","Value",OBS_VALUE,17.8
1999_2002,"Proportion of journeys to work by car or motor cycle","Bochum","Value",OBS_VALUE,71.2
2003_2006,"Total population in Urban Audit cities","Bochum","Value",OBS_VALUE,388179
2003_2006,"Proportion of journeys to work by bicycle","Bochum","Value",OBS_VALUE,1.3
2003_2006,"Proportion of journeys to work by foot","Bochum","Value",OBS_VALUE,9.3
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Bochum","Value",OBS_VALUE,17.8
2003_2006,"Proportion of journeys to work by car or motor cycle","Bochum","Value",OBS_VALUE,71.6

