TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Coimbra","Value",OBS_VALUE,139052
1994_1998,"Total population in Urban Audit cities","Coimbra","Value",OBS_VALUE,143072
1999_2002,"Total population in Urban Audit cities","Coimbra","Value",OBS_VALUE,148443
1999_2002,"Proportion of journeys to work by foot","Coimbra","Value",OBS_VALUE,14.4
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Coimbra","Value",OBS_VALUE,23.4
1999_2002,"Proportion of journeys to work by car or motor cycle","Coimbra","Value",OBS_VALUE,58.4
2003_2006,"Total population in Urban Audit cities","Coimbra","Value",OBS_VALUE,142408

