TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Gravesham","Value",OBS_VALUE,93300
1994_1998,"Total population in Urban Audit cities","Gravesham","Value",OBS_VALUE,93300
1999_2002,"Total population in Urban Audit cities","Gravesham","Value",OBS_VALUE,95739
1999_2002,"Proportion of journeys to work by bicycle","Gravesham","Value",OBS_VALUE,0.7
1999_2002,"Proportion of journeys to work by foot","Gravesham","Value",OBS_VALUE,1.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Gravesham","Value",OBS_VALUE,8.5
1999_2002,"Proportion of journeys to work by car or motor cycle","Gravesham","Value",OBS_VALUE,75.9
2003_2006,"Total population in Urban Audit cities","Gravesham","Value",OBS_VALUE,94900

