TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Ancona","Value",OBS_VALUE,101285
1989_1993,"Proportion of journeys to work by bicycle","Ancona","Value",OBS_VALUE,0.3
1989_1993,"Proportion of journeys to work by foot","Ancona","Value",OBS_VALUE,10.2
1994_1998,"Total population in Urban Audit cities","Ancona","Value",OBS_VALUE,100246
1999_2002,"Total population in Urban Audit cities","Ancona","Value",OBS_VALUE,100507
1999_2002,"Proportion of journeys to work by bicycle","Ancona","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Ancona","Value",OBS_VALUE,7.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Ancona","Value",OBS_VALUE,74.7
2003_2006,"Total population in Urban Audit cities","Ancona","Value",OBS_VALUE,101797

