TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Campobasso","Value",OBS_VALUE,50941
1989_1993,"Proportion of journeys to work by bicycle","Campobasso","Value",OBS_VALUE,0.1
1989_1993,"Proportion of journeys to work by foot","Campobasso","Value",OBS_VALUE,21.1
1994_1998,"Total population in Urban Audit cities","Campobasso","Value",OBS_VALUE,51142
1999_2002,"Total population in Urban Audit cities","Campobasso","Value",OBS_VALUE,50762
1999_2002,"Proportion of journeys to work by bicycle","Campobasso","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Campobasso","Value",OBS_VALUE,14.4
1999_2002,"Proportion of journeys to work by car or motor cycle","Campobasso","Value",OBS_VALUE,75.2
2003_2006,"Total population in Urban Audit cities","Campobasso","Value",OBS_VALUE,51633

