TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Apeldoorn","Value",OBS_VALUE,154859
2003_2006,"Total population in Urban Audit cities","Apeldoorn","Value",OBS_VALUE,156000
2003_2006,"Proportion of journeys to work by bicycle","Apeldoorn","Value",OBS_VALUE,29.0
2003_2006,"Proportion of journeys to work by foot","Apeldoorn","Value",OBS_VALUE,2.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Apeldoorn","Value",OBS_VALUE,6.0

