TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Cardiff","Value",OBS_VALUE,296900
1994_1998,"Total population in Urban Audit cities","Cardiff","Value",OBS_VALUE,301800
1999_2002,"Total population in Urban Audit cities","Cardiff","Value",OBS_VALUE,305353
1999_2002,"Proportion of journeys to work by bicycle","Cardiff","Value",OBS_VALUE,0.5
1999_2002,"Proportion of journeys to work by foot","Cardiff","Value",OBS_VALUE,1.2
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Cardiff","Value",OBS_VALUE,15.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Cardiff","Value",OBS_VALUE,70.9
2003_2006,"Total population in Urban Audit cities","Cardiff","Value",OBS_VALUE,316800

