TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Aalborg","Value",OBS_VALUE,155664
1994_1998,"Total population in Urban Audit cities","Aalborg","Value",OBS_VALUE,159980
1999_2002,"Total population in Urban Audit cities","Aalborg","Value",OBS_VALUE,161661
1999_2002,"Proportion of journeys to work by bicycle","Aalborg","Value",OBS_VALUE,20.0
1999_2002,"Proportion of journeys to work by foot","Aalborg","Value",OBS_VALUE,3.0
2003_2006,"Total population in Urban Audit cities","Aalborg","Value",OBS_VALUE,163231
2003_2006,"Proportion of journeys to work by bicycle","Aalborg","Value",OBS_VALUE,21.4
2003_2006,"Proportion of journeys to work by foot","Aalborg","Value",OBS_VALUE,6.7
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Aalborg","Value",OBS_VALUE,11.0
2003_2006,"Proportion of journeys to work by car or motor cycle","Aalborg","Value",OBS_VALUE,54.0

