TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Trento","Value",OBS_VALUE,101545
1989_1993,"Proportion of journeys to work by bicycle","Trento","Value",OBS_VALUE,3.5
1989_1993,"Proportion of journeys to work by foot","Trento","Value",OBS_VALUE,13.7
1994_1998,"Total population in Urban Audit cities","Trento","Value",OBS_VALUE,100994
1999_2002,"Total population in Urban Audit cities","Trento","Value",OBS_VALUE,104946
1999_2002,"Proportion of journeys to work by bicycle","Trento","Value",OBS_VALUE,4.7
1999_2002,"Proportion of journeys to work by foot","Trento","Value",OBS_VALUE,10.1
1999_2002,"Proportion of journeys to work by car or motor cycle","Trento","Value",OBS_VALUE,69.8
2003_2006,"Total population in Urban Audit cities","Trento","Value",OBS_VALUE,110142

