TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Vilnius","Value",OBS_VALUE,607346
1994_1998,"Total population in Urban Audit cities","Vilnius","Value",OBS_VALUE,578327
1999_2002,"Total population in Urban Audit cities","Vilnius","Value",OBS_VALUE,554281
2003_2006,"Total population in Urban Audit cities","Vilnius","Value",OBS_VALUE,552800
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Vilnius","Value",OBS_VALUE,33.9

