TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Montpellier","Value",OBS_VALUE,353184
1999_2002,"Total population in Urban Audit cities","Montpellier","Value",OBS_VALUE,412891
2003_2006,"Proportion of journeys to work by bicycle","Montpellier","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by foot","Montpellier","Value",OBS_VALUE,10.2
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Montpellier","Value",OBS_VALUE,6.0
2003_2006,"Proportion of journeys to work by car or motor cycle","Montpellier","Value",OBS_VALUE,80.8

