TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Genova","Value",OBS_VALUE,678771
1989_1993,"Proportion of journeys to work by bicycle","Genova","Value",OBS_VALUE,0.2
1989_1993,"Proportion of journeys to work by foot","Genova","Value",OBS_VALUE,14.4
1994_1998,"Total population in Urban Audit cities","Genova","Value",OBS_VALUE,646963
1999_2002,"Total population in Urban Audit cities","Genova","Value",OBS_VALUE,610307
1999_2002,"Proportion of journeys to work by bicycle","Genova","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Genova","Value",OBS_VALUE,12.3
1999_2002,"Proportion of journeys to work by car or motor cycle","Genova","Value",OBS_VALUE,57.0
2003_2006,"Total population in Urban Audit cities","Genova","Value",OBS_VALUE,605084

