TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Catanzaro","Value",OBS_VALUE,96614
1989_1993,"Proportion of journeys to work by bicycle","Catanzaro","Value",OBS_VALUE,0.1
1989_1993,"Proportion of journeys to work by foot","Catanzaro","Value",OBS_VALUE,16.4
1994_1998,"Total population in Urban Audit cities","Catanzaro","Value",OBS_VALUE,96010
1999_2002,"Total population in Urban Audit cities","Catanzaro","Value",OBS_VALUE,95251
1999_2002,"Proportion of journeys to work by bicycle","Catanzaro","Value",OBS_VALUE,0.0
1999_2002,"Proportion of journeys to work by foot","Catanzaro","Value",OBS_VALUE,12.2
1999_2002,"Proportion of journeys to work by car or motor cycle","Catanzaro","Value",OBS_VALUE,77.3
2003_2006,"Total population in Urban Audit cities","Catanzaro","Value",OBS_VALUE,95099

