TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Luxembourg (city)","Value",OBS_VALUE,75833
1994_1998,"Total population in Urban Audit cities","Luxembourg (city)","Value",OBS_VALUE,77401
1999_2002,"Total population in Urban Audit cities","Luxembourg (city)","Value",OBS_VALUE,76688
1999_2002,"Proportion of journeys to work by bicycle","Luxembourg (city)","Value",OBS_VALUE,1.1
1999_2002,"Proportion of journeys to work by foot","Luxembourg (city)","Value",OBS_VALUE,18.9
2003_2006,"Total population in Urban Audit cities","Luxembourg (city)","Value",OBS_VALUE,83226

