TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Breda","Value",OBS_VALUE,163427
2003_2006,"Total population in Urban Audit cities","Breda","Value",OBS_VALUE,166035
2003_2006,"Proportion of journeys to work by bicycle","Breda","Value",OBS_VALUE,23.0
2003_2006,"Proportion of journeys to work by foot","Breda","Value",OBS_VALUE,2.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Breda","Value",OBS_VALUE,5.0

