TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Stoke-on-trent","Value",OBS_VALUE,239000
1999_2002,"Proportion of journeys to work by bicycle","Stoke-on-trent","Value",OBS_VALUE,1.7
1999_2002,"Proportion of journeys to work by foot","Stoke-on-trent","Value",OBS_VALUE,11.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Stoke-on-trent","Value",OBS_VALUE,9.9
1999_2002,"Proportion of journeys to work by car or motor cycle","Stoke-on-trent","Value",OBS_VALUE,77.2
2003_2006,"Total population in Urban Audit cities","Stoke-on-trent","Value",OBS_VALUE,238000

