TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Tilburg","Value",OBS_VALUE,158846
1994_1998,"Total population in Urban Audit cities","Tilburg","Value",OBS_VALUE,164380
1999_2002,"Total population in Urban Audit cities","Tilburg","Value",OBS_VALUE,195819
1999_2002,"Proportion of journeys to work by bicycle","Tilburg","Value",OBS_VALUE,28.0
1999_2002,"Proportion of journeys to work by foot","Tilburg","Value",OBS_VALUE,3.0
2003_2006,"Total population in Urban Audit cities","Tilburg","Value",OBS_VALUE,198767
2003_2006,"Proportion of journeys to work by bicycle","Tilburg","Value",OBS_VALUE,28.0
2003_2006,"Proportion of journeys to work by foot","Tilburg","Value",OBS_VALUE,4.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Tilburg","Value",OBS_VALUE,7.0

