TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Lisboa","Value",OBS_VALUE,663394
1994_1998,"Total population in Urban Audit cities","Lisboa","Value",OBS_VALUE,619704
1999_2002,"Total population in Urban Audit cities","Lisboa","Value",OBS_VALUE,564657
1999_2002,"Proportion of journeys to work by foot","Lisboa","Value",OBS_VALUE,10.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Lisboa","Value",OBS_VALUE,46.1
1999_2002,"Proportion of journeys to work by car or motor cycle","Lisboa","Value",OBS_VALUE,39.9
2003_2006,"Total population in Urban Audit cities","Lisboa","Value",OBS_VALUE,529485

