TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Eindhoven","Value",OBS_VALUE,192895
1994_1998,"Total population in Urban Audit cities","Eindhoven","Value",OBS_VALUE,197374
1999_2002,"Total population in Urban Audit cities","Eindhoven","Value",OBS_VALUE,203397
1999_2002,"Proportion of journeys to work by bicycle","Eindhoven","Value",OBS_VALUE,25.0
1999_2002,"Proportion of journeys to work by foot","Eindhoven","Value",OBS_VALUE,2.0
2003_2006,"Total population in Urban Audit cities","Eindhoven","Value",OBS_VALUE,207870
2003_2006,"Proportion of journeys to work by bicycle","Eindhoven","Value",OBS_VALUE,24.0
2003_2006,"Proportion of journeys to work by foot","Eindhoven","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Eindhoven","Value",OBS_VALUE,8.0

