TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Valletta","Value",OBS_VALUE,359543
1994_1998,"Total population in Urban Audit cities","Valletta","Value",OBS_VALUE,378132
1999_2002,"Total population in Urban Audit cities","Valletta","Value",OBS_VALUE,207155
1999_2002,"Proportion of journeys to work by bicycle","Valletta","Value",OBS_VALUE,0.0
2003_2006,"Total population in Urban Audit cities","Valletta","Value",OBS_VALUE,209422
2003_2006,"Proportion of journeys to work by bicycle","Valletta","Value",OBS_VALUE,0.0

