TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Le Havre","Value",OBS_VALUE,260189
1989_1993,"Proportion of journeys to work by bicycle","Le Havre","Value",OBS_VALUE,1.1
1989_1993,"Proportion of journeys to work by foot","Le Havre","Value",OBS_VALUE,11.5
1989_1993,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Le Havre","Value",OBS_VALUE,6.1
1989_1993,"Proportion of journeys to work by car or motor cycle","Le Havre","Value",OBS_VALUE,76.9
1999_2002,"Total population in Urban Audit cities","Le Havre","Value",OBS_VALUE,255082
2003_2006,"Total population in Urban Audit cities","Le Havre","Value",OBS_VALUE,246196

