TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Edinburgh","Value",OBS_VALUE,436320
1994_1998,"Total population in Urban Audit cities","Edinburgh","Value",OBS_VALUE,444910
1999_2002,"Total population in Urban Audit cities","Edinburgh","Value",OBS_VALUE,448624
1999_2002,"Proportion of journeys to work by bicycle","Edinburgh","Value",OBS_VALUE,2.5
1999_2002,"Proportion of journeys to work by foot","Edinburgh","Value",OBS_VALUE,13.1
2003_2006,"Total population in Urban Audit cities","Edinburgh","Value",OBS_VALUE,453700

