TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Hospitalet de Llobregat(L')","Value",OBS_VALUE,239019
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Hospitalet de Llobregat(L')","Value",OBS_VALUE,40.6
1999_2002,"Proportion of journeys to work by car or motor cycle","Hospitalet de Llobregat(L')","Value",OBS_VALUE,41.9
2003_2006,"Total population in Urban Audit cities","Hospitalet de Llobregat(L')","Value",OBS_VALUE,250536
2003_2006,"Proportion of journeys to work by bicycle","Hospitalet de Llobregat(L')","Value",OBS_VALUE,0.3
2003_2006,"Proportion of journeys to work by foot","Hospitalet de Llobregat(L')","Value",OBS_VALUE,15.4
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Hospitalet de Llobregat(L')","Value",OBS_VALUE,38.7
2003_2006,"Proportion of journeys to work by car or motor cycle","Hospitalet de Llobregat(L')","Value",OBS_VALUE,45.5

