TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","s' Gravenhage","Value",OBS_VALUE,444242
1994_1998,"Total population in Urban Audit cities","s' Gravenhage","Value",OBS_VALUE,442503
1999_2002,"Total population in Urban Audit cities","s' Gravenhage","Value",OBS_VALUE,442356
1999_2002,"Proportion of journeys to work by bicycle","s' Gravenhage","Value",OBS_VALUE,21.0
1999_2002,"Proportion of journeys to work by foot","s' Gravenhage","Value",OBS_VALUE,5.0
2003_2006,"Total population in Urban Audit cities","s' Gravenhage","Value",OBS_VALUE,469059
2003_2006,"Proportion of journeys to work by bicycle","s' Gravenhage","Value",OBS_VALUE,22.0
2003_2006,"Proportion of journeys to work by foot","s' Gravenhage","Value",OBS_VALUE,5.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","s' Gravenhage","Value",OBS_VALUE,30.0

