TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Helsinki","Value",OBS_VALUE,492499
1994_1998,"Total population in Urban Audit cities","Helsinki","Value",OBS_VALUE,525031
1999_2002,"Total population in Urban Audit cities","Helsinki","Value",OBS_VALUE,559718
1999_2002,"Proportion of journeys to work by bicycle","Helsinki","Value",OBS_VALUE,8.0
1999_2002,"Proportion of journeys to work by foot","Helsinki","Value",OBS_VALUE,9.0
2003_2006,"Total population in Urban Audit cities","Helsinki","Value",OBS_VALUE,559716

