TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Malm?","Value",OBS_VALUE,233887
1994_1998,"Total population in Urban Audit cities","Malm?","Value",OBS_VALUE,245699
1999_2002,"Total population in Urban Audit cities","Malm?","Value",OBS_VALUE,259579
1999_2002,"Proportion of journeys to work by bicycle","Malm?","Value",OBS_VALUE,22.0
1999_2002,"Proportion of journeys to work by foot","Malm?","Value",OBS_VALUE,6.0
2003_2006,"Total population in Urban Audit cities","Malm?","Value",OBS_VALUE,267171
2003_2006,"Proportion of journeys to work by bicycle","Malm?","Value",OBS_VALUE,24.0
2003_2006,"Proportion of journeys to work by foot","Malm?","Value",OBS_VALUE,6.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Malm?","Value",OBS_VALUE,18.0
2003_2006,"Proportion of journeys to work by car or motor cycle","Malm?","Value",OBS_VALUE,51.0

