TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1994_1998,"Share of journeys to work by car in Urban Audit cities - %","Banska Bystrica","Value",OBS_VALUE,15.1
1999_2002,"Share of journeys to work by car in Urban Audit cities - %","Banska Bystrica","Value",OBS_VALUE,30.2
2003_2006,"Share of journeys to work by car in Urban Audit cities - %","Banska Bystrica","Value",OBS_VALUE,31.7

