TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Share of journeys to work by car in Urban Audit cities - %","M?lheim a.d.Ruhr","Value",OBS_VALUE,68.2
1994_1998,"Share of journeys to work by car in Urban Audit cities - %","M?lheim a.d.Ruhr","Value",OBS_VALUE,71.3
1999_2002,"Share of journeys to work by car in Urban Audit cities - %","M?lheim a.d.Ruhr","Value",OBS_VALUE,71.4
2003_2006,"Share of journeys to work by car in Urban Audit cities - %","M?lheim a.d.Ruhr","Value",OBS_VALUE,67.9

