TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Share of journeys to work by car in Urban Audit cities - %","Trnava","Value",OBS_VALUE,23.3
2003_2006,"Share of journeys to work by car in Urban Audit cities - %","Trnava","Value",OBS_VALUE,29.3

