TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Share of journeys to work by car in Urban Audit cities - %","Hannover","Value",OBS_VALUE,48.1
1994_1998,"Share of journeys to work by car in Urban Audit cities - %","Hannover","Value",OBS_VALUE,49.2
1999_2002,"Share of journeys to work by car in Urban Audit cities - %","Hannover","Value",OBS_VALUE,48.8
2003_2006,"Share of journeys to work by car in Urban Audit cities - %","Hannover","Value",OBS_VALUE,48.4

