TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Share of journeys to work by car in Urban Audit cities - %","Frankfurt am Main","Value",OBS_VALUE,41.4
1994_1998,"Share of journeys to work by car in Urban Audit cities - %","Frankfurt am Main","Value",OBS_VALUE,45.8
1999_2002,"Share of journeys to work by car in Urban Audit cities - %","Frankfurt am Main","Value",OBS_VALUE,45.3
2003_2006,"Share of journeys to work by car in Urban Audit cities - %","Frankfurt am Main","Value",OBS_VALUE,42.7

